Filenames,Depths,White percents
data/MASK_Sk658 Llobe ch010033.jpg,2950,1.8257856369018555
data/MASK_Sk658 Llobe ch010034.jpg,6600,2.4147748947143555
data/MASK_Sk658 Llobe ch010035.jpg,780,1.3478755950927734
data/MASK_Sk658 Llobe ch010039.jpg,15,0.5161285400390625
data/MASK_Sk658 Llobe ch010040.jpg,380,0.9999990463256836
data/MASK_Sk658 Llobe ch010051.jpg,400,1.035308837890625
data/MASK_Sk658 Llobe ch010121.jpg,9000,3.8411855697631836
data/MASK_Sk658 Llobe ch010061.jpg,585,1.3352155685424805
data/MASK_Sk658 Llobe ch010065.jpg,3900,2.0015478134155273
data/MASK_Sk658 Llobe ch010067.jpg,1500,1.4903068542480469
data/MASK_Sk658 Llobe ch010071.jpg,7100,2.8075218200683594
